AA-Batterien;0;0
Crazy-Frog;0;1
Hand Sanitizer;0;0
Digitale Briefmarke;0;0
Clips (zum verschließen von Essen);0;2
Fast Charging;0;0
Massband;0;0
Cheeseburger;0;0
Luftmatratze;1;2
Jojo;0;0
Schaumwaffel;0;1
Handschlag;2;2
Feuchttuecher;0;0
Monopoly;0;0
(Wand-)Poster;1;1
(Handy-)Huelle;0;0
Schaukel;0;0
Treppe;0;0
Fieberthermometer;0;0
Badelatschen;0;0
Eierbecher;0;1
Eiswaffel;0;0
Schublade;0;0
Ampel;1;2
Karpador;0;0
Hummel;0;0
Die Siedler von Catan;1;2
Guertel;0;1
Currywurst mit Pommes;0;0
USB-C;2;2
Rolladen;0;1
Alpen;0;0
Google Maps;0;0
Goeffel;0;1
Manuellsen;0;1
AUX Anschluss;0;2
Propellerhut;0;0
Geburtstag haben;0;1
Kuscheltier/-ding;2;2
Dinosaurier;0;0
Cap/Rucksack mit Trinkschlauch;0;0
Getraenke Flatrate;1;1
Plus 1 Aktionen;2;3
Medaillien & Pokale;0;0
Automatischer Fensterheber;1;1
Mond;0;0
Online/Handy Tickets fuer Oeffentliche Verkehrsmittel;0;0
Tee;0;0
Postkarten bekommen;1;1
Google-/Apple Pay;0;0
Tablet Bestellungen im Restaurant;0;0
Walkie Talkies;3;3
Kabelkopfhoerer;0;0
Bank mit Lehne;0;1
Eisgekühltes Getraenk;1;1
Waschmachine;0;0
Shazam;0;1
Pokemon;0;1
Getraenkehalter im Auto;0;1
Regenschirm;1;1
